chunk_id,source_file,doc_title,doc_type,product_family,entry_id,version,language,page,chunk_index,page_chunk_count,chunk_text,char_count,word_count,is_boilerplate
G120C_op_instr_0917_en-US_p42_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,42,1,3,"4.1.1 Control cabinet
● Assign the various devices to zones in the control cabinet.
● Electromagnetically uncouple the zones from each other by means of one of the following
actions:
– Side clearance ≥ 25 cm
– Separate metal enclosure
– Large-area partition plates
● Route cables of various zones in separate cable harnesses or cable ducts.
● Install filters or isolation amplifiers at the interfaces of the zones.
Control cabinet assembly
● Connect the door, side panels, top and base plate of the control cabinet with the control
cabinet frame using one of the following methods:
– Electrical contact surface of several cm2 for each contact location
– Several screw connections
– Short, finely stranded, braided copper wires with cross-sections
≥ 95 mm2 / 000 (3/0) (‐2) AWG
● Install a shield support for shielded cables that are routed out of the control cabinet.
● Connect the PE bar and the shield support to the control cabinet frame through a large
surface area to establish a good",989,168,False
G120C_op_instr_0917_en-US_p42_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,42,2,3,"out of the control cabinet.
● Connect the PE bar and the shield support to the control cabinet frame through a large
surface area to establish a good electrical connection.
● Mount the control cabinet components on a bare metal mounting plate.
● Connect the mounting plate to the control cabinet frame and PE bar and shield support
through a large surface area to establish a good electrical connection.
● For screw connections onto painted or anodized surfaces, establish a good conductive
contact using one of the following methods:
– Use special (serrated) contact washers that cut through the painted or anodized surface.
– Remove the insulating coating at the contact locations.
Measures required for several control cabinets
● Install equipotential bonding for all control cabinets.
● Screw the frames of the control cabinets together at several locations through a large
surface area using serrated washers to establish a good electrical connection.
● In plants and systems where the control",998,160,False
G120C_op_instr_0917_en-US_p42_c3,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,42,3,3,"ral locations through a large
surface area using serrated washers to establish a good electrical connection.
● In plants and systems where the control cabinets are lined up next to one another, and
which are installed in two groups back to back, connect the PE bars of the two cabinet
groups at as many locations as possible.
Installing
4.1 EMC-compliant setup of the machine or plant
SINAMICS G120C converter
42 Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF",474,78,False
G120C_op_instr_0917_en-US_p43_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,43,1,2,"7UDQVIRUPHU
0RXQWLQJ SODWH
)RXQGDWLRQ )RXQGDWLRQ
(TXLSRWHQWLDO ERQGLQJ
)XVHV VZLWFKHV DQG
FRQWDFWRUV
/LQH ILOWHU
,QYHUWHU
2XWSXW UHDFWRU RU
VLQH ZDYH ILOWHU
&RQWURO FDELQHW &RQWURO FDELQHW
'ULYHQ PDFKLQH
6KLHOG VXSSRUW
(OHFWULFDOO\
FRQGXFWLYH
FRQQHFWLRQV
WKURXJK D ODUJH
VXUIDFH DUHD
3(
3( 3(
3(
/
1
/
/
Figure 4-2 Grounding and high-frequency equipotential bonding measures in the control cabinet and
in the plant/system
Further information
Additional information about EMC-compliant installation is available in the Internet:
EMC installation guideline (http://support.automation.siemens.com/WW/view/en/60612658)
4.1.2 Cables
Cables with a high level of interference and cables with a low level of interference are
connected to the inverter:
● Cables with a high level of interference:
– Cable between the line filter and inverter
– Motor cable
– Cable at the inverter DC link connection
– Cable between the inverter and braking resistor
● Cables with a low level of interference:
– Cable between",998,144,False
G120C_op_instr_0917_en-US_p43_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,43,2,2,"Cable at the inverter DC link connection
– Cable between the inverter and braking resistor
● Cables with a low level of interference:
– Cable between the line and line filter
– Signal and data cables
Installing
4.1 EMC-compliant setup of the machine or plant
SINAMICS G120C converter
Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF 43",348,57,False
G120C_op_instr_0917_en-US_p44_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,44,1,2,"Cable routing inside the cabinet
● Route the power cables with a high level of interference so that there is a minimum
clearance of 25 cm to cables with a low level of interference.
If the minimum clearance of 25 cm is not possible, insert separating metal sheets between
the cables with a high level of interference and cables with a low level of interference.
Connect these separating metal sheets to the mounting plate to establish a good electrical
connection.
● Cables with a high level of interference and cables with a low level of interference may only
cross over at right angles:
● Keep all of the cables as short as possible.
● Route all of the cables close to the mounting plates or cabinet frames.
● Route signal and data cables - as well as the associated equipotential bonding cables -
parallel and close to one another.
● Twist incoming and outgoing unshielded individual conductors.
Alternatively, you can route incoming and outgoing conductors in parallel, but close to",986,170,False
G120C_op_instr_0917_en-US_p44_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,44,2,2,"Twist incoming and outgoing unshielded individual conductors.
Alternatively, you can route incoming and outgoing conductors in parallel, but close to one
another.
● Ground any unused conductors of signal and data cables at both ends.
● Signal and data cables must only enter the cabinet from one side, e.g. from below.
● Using shielded cables for the following connections:
– Cable between the inverter and line filter
– Cable between the inverter and output reactor or sine-wave filter
0RXQWLQJ SODWH
6KLHOG VXSSRUW
)XVHV VZLWFKHV DQG
FRQWDFWRUV
/LQH ILOWHU
,QYHUWHU
&RQQHFW VKLHOG
(OHFWULFDOO\
FRQGXFWLYH
FRQQHFWLRQV
WKURXJK D ODUJH
VXUIDFH DUHD
&RQQHFW VKLHOG
&RQQHFW VKLHOG
%UDNLQJ UHVLVWRU
2XWSXW UHDFWRU RU
VLQH ZDYH ILOWHU
&RQWURO FDELQHW
Figure 4-3 Routing inverter cables inside and outside a control cabinet
Installing
4.1 EMC-compliant setup of the machine or plant
SINAMICS G120C converter
44 Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF",966,145,False
G120C_op_instr_0917_en-US_p45_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,45,1,2,"Routing cables outside the control cabinet
● Maintain a minimum clearance of 25 cm between cables with a high level of interference
and cables with a low level of interference.
● Using shielded cables for the following connections:
– Inverter motor cable
– Cable between the inverter and braking resistor
– Signal and data cables
● Connect the motor cable shield to the motor enclosure using a PG gland that establishes
a good electrical connection.
Requirements relating to shielded cables
● Use cables with finely-stranded, braided shields.
● Connect the shield to at least one end of the cable.
%DUH VKLHOG
0RXQWLQJ SODWH
6KLHOG SODWH
&RQQHFW VKLHOG
7RRWKHG
WDSH
+RVH FODPS",676,111,False
G120C_op_instr_0917_en-US_p45_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,45,2,2,"braided shields.
● Connect the shield to at least one end of the cable.
%DUH VKLHOG
0RXQWLQJ SODWH
6KLHOG SODWH
&RQQHFW VKLHOG
7RRWKHG
WDSH
+RVH FODPS

Figure 4-4 Examples for EMC-compliant shield support
● Attach the shield to the shield support directly after the cable enters the cabinet.
● Do not interrupt the shield.
● Only use metallic or metallized plug connectors for shielded data cables.
Installing
4.1 EMC-compliant setup of the machine or plant
SINAMICS G120C converter
Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF 45",547,87,False
G120C_op_instr_0917_en-US_p46_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,46,1,1,"4.1.3 Electromechanical components
Surge voltage protection circuit
● Connect surge voltage protection circuits to the following components:
– Coils of contactors
– Relays
– Solenoid valves
– Motor holding brakes
● Connect the surge voltage protection circuit directly at the coil.
● Use RC elements or varistors for AC-operated coils and freewheeling diodes or varistors
for DC-operated coils.
Installing
4.1 EMC-compliant setup of the machine or plant
SINAMICS G120C converter
46 Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF",543,79,False
G120C_op_instr_0917_en-US_p47_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,47,1,1,"4.2 Mounting base components
Dimensions and mounting
All dimensions in mm
K
E
7
+
%
FSAA, FSA FSB FSC
B 73 100 140
b 62.3 80 120
H 202 297 359
h 186 281 343
T 65 85 95
Figure 4-5 Line filter
Installing
4.2 Mounting base components
SINAMICS G120C converter
Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF 47",320,61,False
G120C_op_instr_0917_en-US_p48_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,48,1,1,"Line reactor

Output reactor

Sine-wave filter

Braking resistor
Mounting of the base components:
● 4 × M4 screws
● 4 × M4 nuts
● 4 × M4 washers
Tightening torque: 5 Nm
Installing
4.2 Mounting base components
SINAMICS G120C converter
48 Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF",298,49,False
G120C_op_instr_0917_en-US_p49_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,49,1,2,"Mounting frame size FSAA on a base component
0RWRU
/LQH VXSSO\
OLQH ILOWHU RU
OLQH UHDFWRU
/LQH VXSSO\
OLQH ILOWHU RU
OLQH UHDFWRU
2XWSXW UHDFWRU RU
VLQH ZDYH ILOWHU
0RWRU
RXWSXW UHDFWRU
RU VLQH ZDYH ILOWHU
%UDNLQJ UHVLVWRU
0RWRU
RXWSXW UHDFWRU
RU VLQH ZDYH ILOWHU
/LQH VXSSO\
/LQH ILOWHU RU OLQH
UHDFWRU
Figure 4-6 Available base components
Reactors, filters and braking resistors are available as base components for inverters, frame
size FSAA.
Mount the inverter using two M4 screws on the base component.
Mounting frame size FSAA on two base components",556,91,False
G120C_op_instr_0917_en-US_p49_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,49,2,2,"mponents for inverters, frame
size FSAA.
Mount the inverter using two M4 screws on the base component.
Mounting frame size FSAA on two base components

0RWRU
RXWSXW FKRNH
RU VLQH ZDYH ILOWHU
0RWRU
RXWSXW FKRNH
RU VLQH ZDYH ILOWHU
/LQH VXSSO\ /LQH VXSSO\ /LQH VXSSO\
/LQH ILOWHU RU OLQH
UHDFWRU
%UDNLQJ UHVLVWRU
0RWRU
/LQH ILOWHU /LQH ILOWHU RU OLQH
UHDFWRU
6LQH ZDYH ILOWHUV
/LQH VXSSO\
0RWRU
/LQH ILOWHU RU OLQH
UHDFWRU
2XWSXW FKRNH/LQH UHDFWRU
Figure 4-7 Permissible combinations of base components
You can combine two base components.
Installing
4.2 Mounting base components
SINAMICS G120C converter
Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF 49",667,104,False
G120C_op_instr_0917_en-US_p50_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,50,1,2,"4.3 Installing the inverter
Mounting position
Only the wall-mounted option with network connection at the bottom is permissible.
Protection against the spread of fire
The device may be operated only in closed housings or in control cabinets with protective
covers that are closed, and when all of the protective devices are used. The installation of the
device in a metal control cabinet or the protection with another equivalent measure must
prevent the spread of fire and emissions outside the control cabinet.
Protection against condensation or electrically conductive contamination
Protect the device, e.g. by installing it in a control cabinet with degree of protection IP54
according to IEC 60529 or NEMA 12.",714,111,False
G120C_op_instr_0917_en-US_p50_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,50,2,2,"ductive contamination
Protect the device, e.g. by installing it in a control cabinet with degree of protection IP54
according to IEC 60529 or NEMA 12. Further measures may be necessary for particularly
critical operating conditions.
If condensation or conductive pollution can be excluded at the installation site, a lower degree
of control cabinet protection may be permitted.
Installing
4.3 Installing the inverter
SINAMICS G120C converter
50 Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF",506,74,False
